d,k,p,q,q_gt_6M,nearest_mu_q,nearest_tau_q,mu_dist_lower,mu_dist_upper,tau_dist_lower,tau_dist_upper,epsilon_lower,threshold_upper
0,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-24302011355457541401343834069592783918,15136144531388965939312829111354084553,0.482176433458909702795818152626,0.482176433458909702795818152627,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.467079935837211116758831730095,184.34141791241972087871
1,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-19037815911801830758820800250864477722,15136144531388965939312829111354084553,0.421350275013697416969466269018,0.421350275013697416969466269019,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.406253777391998830932479846486,184.63135754560266419935
2,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-15120638765388840025002810378174452063,15136144531388965939312829111354084553,0.193044327028045740383182964618,0.193044327028045740383182964619,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.177947829406347154346196542086,186.34679256756011417956
3,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-12349342623373680931783204466265552103,15136144531388965939312829111354084553,0.482176433458909702795818152626,0.482176433458909702795818152627,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.467079935837211116758831730095,184.34141791241972087871
4,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-10467893814106927354458838550423727943,15136144531388965939312829111354084553,0.220832171804012553063537177929,0.220832171804012553063537177930,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.205735674182313967026550755397,186.04525842362557060630
5,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-9229560132866318919045201210782548281,15136144531388965939312829111354084553,0.024827160700366431527962529394,0.024827160700366431527962529395,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.009730663078667845490976106862,192.38614617657461882901
6,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-8432165476960690197965214593575526445,15136144531388965939312829111354084553,0.289517618555438620617898542973,0.289517618555438620617898542974,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.274421120933740034580912120441,185.44662048625329196168
7,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7926234952895951114613776503000778159,15136144531388965939312829111354084553,0.228968795809142826891059336510,0.228968795809142826891059336511,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.213872298187444240854072913978,185.96465589556650438756
8,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7608320637542248456487833181026658741,15136144531388965939312829111354084553,0.224842318961164768867211788617,0.224842318961164768867211788618,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.209745821339466182830225366085,186.00514259061052310910
9,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7409784661264239077952557003516908984,15136144531388965939312829111354084553,0.139774245707641121405769362921,0.139774245707641121405769362922,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.124677748085942535368782940389,187.08608865796487909796
